id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
99,2017.456387,2023.237341,2029.710412,2043.336083,2051.201164,2050.258262,2043.18475,2039.522903,2035.063841,2022.420432,2035.461666,2036.809242,2046.233279,2062.540328,2063.112277,2061.419052,2055.909735,2026.69768,2019.297857,2009.574841
100,1950.41109,1957.247134,1976.301919,1994.497126,2003.962824,2009.659719,2004.697486,1995.930309,1990.608354,1973.261656,1987.772119,1973.590267,1957.724368,1962.260521,1952.302148,1952.055768,1944.695751,1939.340005,1942.152923,1915.919497
101,1711.542991,1721.031761,1725.382815,1732.856234,1740.723505,1755.326307,1742.462467,1735.960434,1737.031342,1735.912009,1762.195713,1759.436238,1765.3853,1772.76605,1754.162888,1749.291919,1759.150235,1763.99063,1765.840926,1766.255249
102,2178.039581,2180.045268,2171.942336,2173.080093,2178.971208,2203.524634,2217.080363,2224.435325,2221.853559,2217.580369,2239.545302,2242.467371,2263.666946,2280.353647,2289.109958,2296.552407,2313.052394,2321.771344,2322.692651,2329.177119
103,1070.025609,1065.519852,1049.141559,1050.597345,1054.46268,1073.107221,1074.273805,1048.248499,1050.836076,1058.184789,1075.392186,1083.612731,1103.528463,1121.335701,1127.35969,1135.514667,1153.669531,1177.827346,1183.844136,1205.645983
104,1989.173689,2033.279609,2064.967423,2098.40087,2131.719574,2192.439914,2183.483917,2174.513129,2170.127681,2184.431781,2172.107079,2163.659387,2164.827088,2186.331545,2159.459592,2186.635012,2190.593395,1821.328276,1653.671455,1670.387095
105,1784.594444,1787.207572,1788.067217,1780.943265,1779.566242,1778.944418,1744.994717,1727.725198,1715.824022,1695.698879,1696.752762,1692.235714,1684.608204,1682.794437,1676.540394,1674.877995,1671.241173,1290.622908,1334.138612,1363.541429
106,1834.482679,1848.306791,1860.959175,1872.825412,1882.822872,1887.876111,1879.651247,1875.419152,1874.935977,1866.987805,1860.907444,1863.501436,1859.457046,1852.744959,1845.221671,1840.784873,1841.737238,1836.525624,1831.677217,1840.414153
107,2122.176296,2137.482581,2149.338291,2168.224634,2180.411669,2192.957001,2196.182782,2197.402216,2198.0869,2199.597924,2198.877936,2192.92953,2188.834473,2150.684017,2126.32011,2130.12666,2128.135672,2128.055738,2129.282499,2138.56109
108,3021.650263,3024.733892,3026.722874,3032.936264,3037.61382,3035.925737,3015.825024,2999.944554,2990.505549,2976.964735,2965.210126,2958.285946,2954.792154,2951.355777,2941.246559,2930.609342,2927.065682,2919.143739,2914.808636,2913.50416
109,3761.16943,3767.330204,3756.077989,3746.72404,3735.545196,3721.783122,3675.5063,3626.427831,3601.827689,3563.954755,3532.787939,3514.246125,3505.460565,3497.990578,3481.489539,3465.051204,3447.974773,3430.181181,3415.955058,3396.360567
110,2863.774005,2869.262861,2866.297639,2863.718528,2868.032415,2868.332554,2844.439457,2821.005011,2810.825495,2786.595327,2764.886973,2750.706912,2742.007651,2738.324945,2720.860917,2706.186121,2693.531351,2676.588694,2665.444378,2658.225788
111,2906.002858,2902.026593,2895.142847,2892.062293,2884.521713,2877.101795,2859.011117,2845.547918,2828.902759,2811.982974,2795.57921,2780.28923,2766.981981,2756.014968,2733.836857,2718.33699,2702.297052,2682.244181,2665.758531,2653.518322
112,1162.83908,1187.827586,1236.885057,1286.471264,1313.022989,1362.494253,1343.057471,1297.896552,1383.413793,1375.712644,1402.988506,1399.034483,1412.494253,1399.206897,1454.896552,1480.08046,1540.275862,1557.954023,1554.712644,1516.908046
113,1682.555117,1651.644093,1658.523138,1668.249765,1671.064698,1688.498025,1693.254467,1710.145947,1723.678263,1737.692366,1730.564874,1728.655322,1731.278864,1731.926476,1737.056976,1739.108855,1732.313158,1714.284693,1693.200226,1687.420944
